Treatment	CDay	day	AS	DOC	TP	PO4	TDN	NH4	NO3
SW_030	Day_030	30	SW	1.606	0.3125	0.02364	4.1	0.01569	0.39773
SW_060	Day_060	60	SW	0.05938	0.17857	0.04728	3.93836	0	0.39773
SW_090	Day_090	90	SW	1.308	0.13393	0.02364	3.988	0	0.45455
SW_360	Day_360	360	SW	1.03	0.102	0	1.95	0	0.331
CA_030	Day_030	30	CA	54.88	8.21429	0	5.07655	0.02801	0.79545
CA_060	Day_060	60	CA	52.98	7.45536	0.02364	4.00886	0	0.85227
CA_090	Day_090	90	CA	40.08	7.14286	0	3.10234	0	0.90909
CA_360	Day_360	360	CA	33.9	6.78	0	1.544	0	0.9509
PP_030	Day_030	30	PP	8.98	24.9107	0.07092	8.88396	0.92801	0.45455
PP_060	Day_060	60	PP	6.54	24.9107	0.02364	7.70548	0.85743	0.625
PP_090	Day_090	90	PP	10.6	24.6429	0	8.95447	0.45	0.56818
PP_360	Day_360	360	PP	6.19	19.8	0	4.8	0.2	0.5118
DN_030	Day_030	30	DN	19.56	0.17857	0.44917	4.45205	0.15201	0.56818
DN_060	Day_060	60	DN	19.4	0.26786	0.47281	5.56003	0.40877	0.45455
DN_090	Day_090	90	DN	12.32	0.22321	0.6383	5.99315	0.04985	0.625
DN_360	Day_360	360	DN	6.45	0.1922	0.255	1.98	0.01547	0.574
