OTU	SW_30	SW_60	SW_90	SW_360	CA_30	CA_60	CA_90	CA_360	PP_30	PP_60	PP_90	PP_360	DN_30	DN_60	DN_90	DND_360	Kingdome	Phylum	Class	Order
OTU001	6	10	5	0	9	9	8	0	3	20	25	0	10	7	6	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales
OTU002	0	0	1	3	0	0	0	1	0	0	0	1	0	0	0	12	Bacteria	Acidobacteria	Acidobacteria	Gp16
OTU003	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Bacteria	Acidobacteria	Acidobacteria	Gp4
OTU004	0	0	0	0	0	0	0	0	0	14	0	0	1	0	0	0	Bacteria	Acidobacteria	Holophagae	32-20
OTU005	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Acidobacteria	Holophagae	Holophagales
OTU006	0	0	0	0	13	3	0	0	9	2	11	0	102	1	1	0	Bacteria	Acidobacteria	Holophagae	iii1-8
OTU007	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	RB25	unclassified_RB25
OTU008	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	Bacteria	Acidobacteria	unclassified	unclassified_Acidobacteria
OTU009	1	4	2	0	16	965	11	0	17	46	386	0	18	6	3	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobidae
OTU010	18	37	18	0	49	1599	84	0	119	34	103	0	139	53	20	0	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae
OTU011	0	0	34	101	0	0	0	179	0	0	0	52	0	0	0	49	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
OTU012	13	1	5	0	0	3	10	0	0	0	0	0	4	4	8	0	Bacteria	Actinobacteria	Actinobacteria	Coriobacteridae
OTU013	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	Bacteria	Actinobacteria	Actinobacteria	MB-A2-108
OTU014	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Rubrobacterales
OTU015	7	18	8	0	50	92	16	0	83	27	668	0	21	11	11	0	Bacteria	Actinobacteria	Actinobacteria	Rubrobacteridae
OTU016	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales
OTU017	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	Bacteria	Actinobacteria	Actinobacteria	unclassified_Actinobacteria
OTU018	1438	681	753	141	772	411	1476	96	1564	64	532	137	892	734	1535	95	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales
OTU019	117	173	1686	4769	228	3553	81	5728	258	5195	6464	14829	341	838	39	10192	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales
OTU020	0	0	0	0	18	27	0	0	1	8	43	0	15	0	0	0	Bacteria	Bacteroidetes	ML602M-17	unclassified_ML602M-17
OTU021	162	1082	666	753	282	4224	198	3095	344	11096	3461	4546	4891	1657	187	3138	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales
OTU022	0	0	185	554	2	0	0	498	0	0	0	1077	0	0	0	929	Bacteria	Bacteroidetes	unclassified	unclassified_Bacteroidetes
OTU023	0	0	0	0	10	18	0	0	0	52	6	0	13	14	0	0	Bacteria	Candidate	BRC1	unclassified_BRC1
OTU024	24	5	46	108	28	181	0	20	0	109	20	20	0	1	2	513	Bacteria	OD1	OD1	unclassified_OD1
OTU025	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	Bacteria	Candidate	OP10	unclassified_OP10
OTU026	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Bacteria	Candidate	OP3	unclassified_OP3
OTU027	0	11	4	0	0	3	1	0	0	0	0	0	0	62	0	0	Bacteria	Candidate	SR1	unclassified_SR1
OTU028	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Candidate	TG-1	Lineage_IV
OTU029	0	0	0	0	5	0	0	0	0	2	2	0	0	0	0	0	Bacteria	Candidate	TM6	unclassified_TM6
OTU030	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	WS3	WS1	unclassified_WS1
OTU031	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	Bacteria	WS3	WS3	unclassified_WS3
OTU032	0	0	67	201	92	0	0	33	9	6	98	19	8	0	0	19	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales
OTU033	2	2	1	0	5	1	4	0	1	7	15	0	4	3	4	0	Bacteria	Chlorobi	Chlorobia	Chlorobiales
OTU034	1	0	0	0	21	8	0	1	0	5	22	0	159	5	2	0	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales
OTU035	0	1	0	0	2	4	0	5	2	1	48	0	0	1	0	0	Bacteria	Chloroflexi	Caldilineae	Caldilineales
OTU036	1	0	0	0	0	0	2	0	0	3	0	0	1	2	0	0	Bacteria	Chloroflexi	Chloroflexi	Chloroflexales
OTU037	1	0	0	0	11	0	0	0	0	2	0	0	1	0	0	0	Bacteria	Chloroflexi	GIF3	unclassified_GIF3
OTU038	0	0	0	0	0	4	2	0	2	6	7	0	0	1	1	0	Bacteria	Chloroflexi	KD4-96	unclassified_KD4-96
OTU039	0	1	0	0	2	100	0	0	0	14	54	0	3	0	1	0	Bacteria	Chloroflexi	S085	unclassified_S085
OTU040	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	Bacteria	Chloroflexi	SAR202	unclassified_SAR202
OTU041	0	1	0	0	0	2	0	0	0	0	16	0	0	0	1	0	Bacteria	Chloroflexi	SHA-26	unclassified_SHA-26
